timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-08-27 17:00:00,207.94000000,210.00000000,207.42000000,209.18000000,325996.92000000,1756317599999,68098345.25722000,189819,210971.38100000,44085553.85958000,0
2025-08-27 18:00:00,209.18000000,212.08000000,208.21000000,208.36000000,429611.01100000,1756321199999,90452476.24636000,247609,236123.52200000,49747571.25537000,0
2025-08-27 19:00:00,208.36000000,209.30000000,205.95000000,206.40000000,381710.79800000,1756324799999,79076193.02083000,266609,180183.00900000,37332001.92035000,0
2025-08-27 20:00:00,206.40000000,209.49000000,202.95000000,208.58000000,1105917.21300000,1756328399999,227694873.70679000,567570,548379.16200000,112984899.73900000,0
2025-08-27 21:00:00,208.58000000,208.78000000,204.82000000,205.61000000,230784.38500000,1756331999999,47697142.84345000,165049,107692.65600000,22268922.01586000,0
2025-08-27 22:00:00,205.61000000,205.73000000,203.41000000,204.36000000,237504.40400000,1756335599999,48565086.89489000,177463,103372.39700000,21143445.60271000,0
2025-08-27 23:00:00,204.35000000,205.36000000,202.57000000,202.95000000,146330.39000000,1756339199999,29814882.20520000,110065,56810.44000000,11581230.89937000,0
2025-08-28 00:00:00,202.95000000,205.11000000,201.72000000,203.93000000,299132.20600000,1756342799999,60841612.32176000,225208,125825.35600000,25605757.74962000,0
2025-08-28 01:00:00,203.93000000,206.43000000,203.15000000,205.91000000,234736.00700000,1756346399999,48089608.28507000,164212,139705.17800000,28627811.71190000,0
2025-08-28 02:00:00,205.91000000,207.87000000,205.30000000,206.24000000,175234.39400000,1756349999999,36190642.82145000,124857,103177.72500000,21314681.64087000,0
2025-08-28 03:00:00,206.25000000,208.35000000,206.05000000,208.15000000,139736.63000000,1756353599999,28972761.36029000,107585,83493.15400000,17313004.22743000,0
2025-08-28 04:00:00,208.16000000,212.55000000,207.47000000,212.08000000,451679.00200000,1756357199999,95143139.44026000,217688,286621.06500000,60394383.34287000,0
2025-08-28 05:00:00,212.08000000,213.17000000,210.74000000,211.63000000,436655.75900000,1756360799999,92471701.68426000,241103,238487.53400000,50523054.83725000,0
2025-08-28 06:00:00,211.64000000,211.89000000,209.71000000,211.67000000,245763.11400000,1756364399999,51775097.75305000,162261,122760.82400000,25867346.45450000,0
2025-08-28 07:00:00,211.67000000,213.33000000,210.51000000,213.11000000,238525.32700000,1756367999999,50522435.96960000,84519,141464.49000000,29980981.54825000,0
2025-08-28 08:00:00,213.11000000,216.50000000,213.06000000,214.24000000,754043.65800000,1756371599999,162055052.85817000,187327,448329.63400000,96359055.42400000,0
2025-08-28 09:00:00,214.23000000,214.30000000,211.32000000,211.60000000,379181.67600000,1756375199999,80647311.94483000,88721,171879.53000000,36579074.37953000,0
2025-08-28 10:00:00,211.60000000,213.94000000,211.07000000,213.94000000,220495.96000000,1756378799999,46890884.94771000,92682,115057.88800000,24492713.73074000,0
2025-08-28 11:00:00,213.94000000,213.97000000,212.40000000,213.14000000,153519.00300000,1756382399999,32715777.85670000,81936,66028.24300000,14073140.85220000,0
2025-08-28 12:00:00,213.15000000,214.31000000,211.97000000,213.13000000,268649.09100000,1756385999999,57301214.95575000,152322,132558.10100000,28278011.04557000,0
2025-08-28 13:00:00,213.13000000,216.89000000,212.16000000,212.74000000,690701.97700000,1756389599999,148371281.57747000,328747,364818.09200000,78406224.26586000,0
2025-08-28 14:00:00,212.74000000,216.00000000,211.66000000,215.64000000,415761.54700000,1756393199999,89035994.32748000,265112,207592.55700000,44478724.79529000,0
2025-08-28 15:00:00,215.64000000,216.07000000,210.20000000,211.06000000,500514.24100000,1756396799999,106320512.34312000,262306,232362.98400000,49376899.70285000,0
2025-08-28 16:00:00,211.06000000,214.00000000,207.17000000,207.43000000,410753.36800000,1756400399999,86744003.45849000,208801,194010.98700000,41022421.05211000,0
2025-08-28 17:00:00,207.43000000,210.67000000,207.28000000,210.41000000,253008.08100000,1756403999999,52946384.71930000,156617,124894.23300000,26133599.07544000,0
